"GEO_ID","NAME","S2406_C01_001E","S2406_C01_001M","S2406_C01_002E","S2406_C01_002M","S2406_C01_003E","S2406_C01_003M","S2406_C01_004E","S2406_C01_004M","S2406_C01_005E","S2406_C01_005M","S2406_C01_006E","S2406_C01_006M","S2406_C01_007E","S2406_C01_007M","S2406_C02_001E","S2406_C02_001M","S2406_C02_002E","S2406_C02_002M","S2406_C02_003E","S2406_C02_003M","S2406_C02_004E","S2406_C02_004M","S2406_C02_005E","S2406_C02_005M","S2406_C02_006E","S2406_C02_006M","S2406_C02_007E","S2406_C02_007M","S2406_C03_001E","S2406_C03_001M","S2406_C03_002E","S2406_C03_002M","S2406_C03_003E","S2406_C03_003M","S2406_C03_004E","S2406_C03_004M","S2406_C03_005E","S2406_C03_005M","S2406_C03_006E","S2406_C03_006M","S2406_C03_007E","S2406_C03_007M","S2406_C04_001E","S2406_C04_001M","S2406_C04_002E","S2406_C04_002M","S2406_C04_003E","S2406_C04_003M","S2406_C04_004E","S2406_C04_004M","S2406_C04_005E","S2406_C04_005M","S2406_C04_006E","S2406_C04_006M","S2406_C04_007E","S2406_C04_007M","S2406_C05_001E","S2406_C05_001M","S2406_C05_002E","S2406_C05_002M","S2406_C05_003E","S2406_C05_003M","S2406_C05_004E","S2406_C05_004M","S2406_C05_005E","S2406_C05_005M","S2406_C05_006E","S2406_C05_006M","S2406_C05_007E","S2406_C05_007M","S2406_C06_001E","S2406_C06_001M","S2406_C06_002E","S2406_C06_002M","S2406_C06_003E","S2406_C06_003M","S2406_C06_004E","S2406_C06_004M","S2406_C06_005E","S2406_C06_005M","S2406_C06_006E","S2406_C06_006M","S2406_C06_007E","S2406_C06_007M"
"0500000US55025","Dane County, Wisconsin","304412","5176","158008","4395","44292","3347","63628","4040","15512","1994","22972","1939","8.6","(X)","60.1","1.6","47.6","2.0","63.9","3.9","75.9","2.9","70.2","6.5","88.5","2.8","(X)","(X)","2.8","0.4","3.6","0.6","2.5","1.2","1.7","0.6","2.8","1.2","0.7","0.7","(X)","(X)","10.7","0.8","15.1","1.4","8.7","2.0","6.0","1.4","3.9","3.2","2.1","1.1","(X)","(X)","21.9","1.4","29.5","2.0","20.2","3.6","14.2","2.6","4.6","1.9","6.0","2.2","(X)","(X)","4.5","0.7","4.2","0.9","4.7","1.4","2.3","1.0","18.5","6.4","2.7","1.4","(X)","(X)"
"0500000US55027","Dodge County, Wisconsin","44389","1516","12726","1248","5899","801","9874","1220","4776","636","11114","1060","9.1","(X)","76.2","2.7","55.6","6.0","69.0","7.0","84.7","4.2","80.0","6.0","94.2","2.3","(X)","(X)","1.9","0.8","3.9","2.4","0.5","0.6","0.2","0.2","4.3","2.2","1.0","1.1","(X)","(X)","6.5","1.6","15.0","4.3","11.7","4.4","1.6","0.8","0.9","1.2","0.9","0.7","(X)","(X)","9.8","1.6","18.1","4.5","12.9","4.9","8.8","2.9","4.3","2.2","1.8","1.3","(X)","(X)","5.6","1.5","7.4","3.3","5.9","2.9","4.7","2.7","10.6","5.5","2.1","1.5","(X)","(X)"
"0500000US55035","Eau Claire County, Wisconsin","56515","1789","20604","1699","12048","1659","12423","1586","3270","829","8170","1410","8.1","(X)","69.9","3.0","56.3","5.4","67.9","6.4","84.4","3.7","66.3","13.2","86.8","5.6","(X)","(X)","2.6","0.9","3.2","1.8","2.5","2.6","3.0","1.9","3.9","3.7","0.1","0.2","(X)","(X)","9.4","1.5","15.7","3.2","5.7","2.8","5.7","2.3","4.2","4.6","6.5","4.4","(X)","(X)","11.4","2.1","18.6","4.1","15.4","5.0","5.1","2.5","3.3","3.7","0.3","0.4","(X)","(X)","6.7","1.6","6.2","2.8","8.5","4.1","1.7","1.3","22.4","11.1","6.3","3.9","(X)","(X)"
"0500000US55039","Fond du Lac County, Wisconsin","54580","1939","15809","1393","9583","1526","12489","1364","6269","1079","10430","1282","10.4","(X)","73.6","2.5","57.9","5.6","66.1","6.8","78.7","4.3","80.6","7.0","94.0","2.5","(X)","(X)","2.7","0.8","3.5","1.6","1.0","1.0","3.7","2.0","4.4","2.5","1.0","0.7","(X)","(X)","7.6","1.6","13.5","4.1","8.8","3.6","7.8","2.9","1.4","2.8","0.8","1.0","(X)","(X)","11.8","1.9","18.5","4.7","18.3","5.0","7.8","3.0","8.1","5.8","2.8","1.9","(X)","(X)","4.3","1.0","6.6","2.7","5.7","2.9","2.0","1.5","5.5","2.3","1.4","1.3","(X)","(X)"
"0500000US55055","Jefferson County, Wisconsin","46421","1696","15298","1257","8686","1250","8968","1139","5471","908","7998","1090","10.5","(X)","70.8","3.1","59.2","5.1","59.4","6.4","79.3","5.7","77.6","6.9","91.3","4.2","(X)","(X)","3.1","0.9","3.8","1.8","2.3","2.4","4.4","2.8","4.0","2.1","0.6","0.8","(X)","(X)","10.8","2.0","18.2","4.1","15.3","6.1","6.0","2.8","2.5","3.0","2.8","2.7","(X)","(X)","9.7","2.0","13.1","4.0","16.7","5.7","8.9","3.9","1.9","1.8","1.7","1.9","(X)","(X)","5.6","1.4","5.6","2.3","6.3","3.3","1.3","1.1","14.0","6.3","3.6","2.9","(X)","(X)"
"0500000US55059","Kenosha County, Wisconsin","86872","2250","28395","2248","16554","2126","20388","1965","7963","1088","13572","1521","13.0","(X)","78.5","2.2","68.6","3.6","77.2","5.8","87.0","3.6","72.7","8.7","91.5","4.5","(X)","(X)","2.3","0.8","4.2","1.7","1.9","1.4","0.8","0.8","3.3","2.8","0.9","1.2","(X)","(X)","5.1","1.4","6.4","2.2","6.9","3.8","4.8","2.3","5.1","3.8","1.0","1.0","(X)","(X)","11.1","1.5","18.5","3.3","11.2","3.9","6.0","2.6","7.2","4.3","5.5","3.8","(X)","(X)","2.9","0.9","2.4","1.0","2.8","2.5","1.4","1.2","11.8","5.7","1.1","1.2","(X)","(X)"
"0500000US55063","La Crosse County, Wisconsin","63440","2018","22668","2012","11394","1483","16014","1700","4496","928","8868","1604","10.4","(X)","68.1","3.2","48.4","6.0","70.9","7.5","80.1","4.0","82.6","7.2","85.6","7.6","(X)","(X)","2.6","0.9","3.1","1.4","0.7","1.2","3.6","2.3","5.9","4.7","0.5","0.7","(X)","(X)","12.5","2.0","23.7","4.2","10.1","4.5","5.7","2.5","3.0","3.6","4.4","4.1","(X)","(X)","13.4","2.4","20.8","4.3","15.8","6.0","8.1","2.7","5.0","4.6","5.3","4.1","(X)","(X)","3.4","1.0","4.1","1.6","2.5","1.8","2.4","1.5","3.5","2.8","4.2","3.9","(X)","(X)"
"0500000US55071","Manitowoc County, Wisconsin","41161","1152","12061","1343","6700","1246","8167","985","4536","676","9697","1050","8.7","(X)","73.1","2.6","52.2","5.9","75.4","6.9","77.9","5.6","73.4","8.3","93.1","3.0","(X)","(X)","3.5","1.2","5.1","2.9","0.7","0.7","2.9","2.6","10.5","7.2","0.9","1.0","(X)","(X)","9.5","2.0","21.7","6.2","8.1","4.0","6.6","3.3","1.4","1.6","1.5","1.4","(X)","(X)","8.8","1.6","13.7","3.2","11.2","4.9","7.8","4.2","6.0","3.0","3.3","2.3","(X)","(X)","5.1","1.3","7.2","3.0","4.6","3.7","4.8","2.4","8.7","3.6","1.2","0.9","(X)","(X)"
"0500000US55073","Marathon County, Wisconsin","71385","1735","26521","1914","9502","1417","16300","1636","6366","1041","12696","1376","7.7","(X)","73.9","2.1","56.4","3.7","73.2","6.7","84.1","3.5","83.6","3.7","92.9","2.8","(X)","(X)","3.3","0.7","5.1","1.6","1.6","2.0","2.7","1.3","4.1","2.0","1.2","0.8","(X)","(X)","8.1","1.4","16.3","2.9","3.4","2.7","5.3","2.0","0.4","0.6","2.2","1.8","(X)","(X)","9.3","1.7","15.9","3.4","12.2","4.8","5.0","1.9","4.6","2.9","1.3","1.4","(X)","(X)","5.4","1.0","6.3","1.6","9.5","4.0","3.0","2.1","7.3","2.5","2.4","1.5","(X)","(X)"
"0500000US55079","Milwaukee County, Wisconsin","455061","7073","164253","6126","91596","4423","103863","5846","27496","2531","67853","4263","11.7","(X)","70.9","1.2","57.0","1.7","69.6","2.8","78.5","2.0","78.5","3.6","91.7","1.7","(X)","(X)","1.8","0.3","2.2","0.4","0.6","0.3","2.8","0.9","2.3","0.9","0.9","0.5","(X)","(X)","11.4","0.8","19.9","1.3","9.6","1.7","8.1","1.4","2.8","1.6","2.0","0.8","(X)","(X)","11.6","0.7","16.4","1.1","13.6","1.8","8.9","1.5","7.6","2.1","3.2","0.9","(X)","(X)","4.2","0.5","4.4","0.7","6.6","1.5","1.7","0.6","8.8","2.6","2.3","1.1","(X)","(X)"
