County,Agency_Name,Offense_Description,Min_months_submitted,Year,Offense_Count
Brown,Hobart-Lawrence PD,Robbery,12,2020,0
Brown,Green Bay PD,Robbery,12,2020,45
Brown,De Pere PD,Robbery,12,2020,2
Brown,Brown Co SO,Robbery,12,2020,3
Brown,Ashwaubenon PD,Robbery,12,2020,3
Brown,UW-Green Bay PD,Rape - revised 2017,12,2020,0
Brown,Pulaski PD,Rape - revised 2017,12,2020,1
Brown,Hobart-Lawrence PD,Rape - revised 2017,12,2020,2
Brown,Green Bay PD,Rape - revised 2017,12,2020,76
Brown,De Pere PD,Rape - revised 2017,12,2020,8
Brown,Brown Co SO,Rape - revised 2017,12,2020,21
Brown,Ashwaubenon PD,Rape - revised 2017,12,2020,14
Brown,UW-Green Bay PD,Homicide,12,2020,0
Brown,Pulaski PD,Homicide,12,2020,0
Brown,Hobart-Lawrence PD,Homicide,12,2020,0
Brown,Green Bay PD,Homicide,12,2020,6
Brown,De Pere PD,Homicide,12,2020,0
Brown,Brown Co SO,Homicide,12,2020,0
Brown,Ashwaubenon PD,Homicide,12,2020,1
Buffalo,Mondovi PD,Human Trafficking - Involuntary Servitude,12,2020,0
Buffalo,Buffalo Co SO,Human Trafficking - Involuntary Servitude,12,2020,0
Buffalo,Mondovi PD,Human Trafficking - Commercial Sex,12,2020,0
Buffalo,Buffalo Co SO,Human Trafficking - Commercial Sex,12,2020,0
Buffalo,Mondovi PD,Simple Assault,12,2020,1
Buffalo,Buffalo Co SO,Simple Assault,12,2020,15
Buffalo,Mondovi PD,Arson,12,2020,0
Buffalo,Buffalo Co SO,Arson,12,2020,0
Buffalo,Mondovi PD,Motor Vehicle Theft,12,2020,0
Buffalo,Buffalo Co SO,Motor Vehicle Theft,12,2020,5
Buffalo,Mondovi PD,Larceny Theft,12,2020,1
Buffalo,Buffalo Co SO,Larceny Theft,12,2020,13
Buffalo,Mondovi PD,Burglary,12,2020,0
Buffalo,Buffalo Co SO,Burglary,12,2020,2
Buffalo,Mondovi PD,Aggravated Assault,12,2020,4
Buffalo,Buffalo Co SO,Aggravated Assault,12,2020,3
Buffalo,Mondovi PD,Robbery,12,2020,0
Buffalo,Buffalo Co SO,Robbery,12,2020,1
Buffalo,Mondovi PD,Rape - revised 2017,12,2020,0
Buffalo,Buffalo Co SO,Rape - revised 2017,12,2020,1
Buffalo,Mondovi PD,Homicide,12,2020,0
Buffalo,Buffalo Co SO,Homicide,12,2020,0
Burnett,Webster PD,Human Trafficking - Involuntary Servitude,12,2020,0
Burnett,Siren PD,Human Trafficking - Involuntary Servitude,12,2020,0
Burnett,Grantsburg PD,Human Trafficking - Involuntary Servitude,12,2020,0
Burnett,Burnett Co SO,Human Trafficking - Involuntary Servitude,12,2020,0
Burnett,Webster PD,Human Trafficking - Commercial Sex,12,2020,0
Burnett,Siren PD,Human Trafficking - Commercial Sex,12,2020,0
Burnett,Grantsburg PD,Human Trafficking - Commercial Sex,12,2020,0
Burnett,Burnett Co SO,Human Trafficking - Commercial Sex,12,2020,1
Burnett,Webster PD,Simple Assault,12,2020,12
Burnett,Siren PD,Simple Assault,12,2020,5
Burnett,Grantsburg PD,Simple Assault,12,2020,0
Burnett,Burnett Co SO,Simple Assault,12,2020,108
Burnett,Webster PD,Arson,12,2020,0
Burnett,Siren PD,Arson,12,2020,1
Burnett,Grantsburg PD,Arson,12,2020,0
Burnett,Burnett Co SO,Arson,12,2020,1
Burnett,Webster PD,Motor Vehicle Theft,12,2020,4
Burnett,Siren PD,Motor Vehicle Theft,12,2020,0
Burnett,Grantsburg PD,Motor Vehicle Theft,12,2020,0
Burnett,Burnett Co SO,Motor Vehicle Theft,12,2020,26
Burnett,Webster PD,Larceny Theft,12,2020,11
Burnett,Siren PD,Larceny Theft,12,2020,5
Burnett,Grantsburg PD,Larceny Theft,12,2020,18
Burnett,Burnett Co SO,Larceny Theft,12,2020,164
Burnett,Webster PD,Burglary,12,2020,1
Burnett,Siren PD,Burglary,12,2020,0
Burnett,Grantsburg PD,Burglary,12,2020,0
Burnett,Burnett Co SO,Burglary,12,2020,104
Burnett,Webster PD,Aggravated Assault,12,2020,2
Burnett,Siren PD,Aggravated Assault,12,2020,2
Burnett,Grantsburg PD,Aggravated Assault,12,2020,10
Burnett,Burnett Co SO,Aggravated Assault,12,2020,35
Burnett,Webster PD,Robbery,12,2020,0
Burnett,Siren PD,Robbery,12,2020,1
Burnett,Grantsburg PD,Robbery,12,2020,1
Burnett,Burnett Co SO,Robbery,12,2020,2
Burnett,Webster PD,Rape - revised 2017,12,2020,1
Burnett,Siren PD,Rape - revised 2017,12,2020,3
Burnett,Grantsburg PD,Rape - revised 2017,12,2020,0
Burnett,Burnett Co SO,Rape - revised 2017,12,2020,6
Burnett,Webster PD,Homicide,12,2020,0
Burnett,Siren PD,Homicide,12,2020,0
Burnett,Grantsburg PD,Homicide,12,2020,0
Burnett,Burnett Co SO,Homicide,12,2020,2
Calumet,New Holstein PD,Human Trafficking - Involuntary Servitude,12,2020,0
Calumet,Chilton PD,Human Trafficking - Involuntary Servitude,12,2020,0
Calumet,Calumet Co SO,Human Trafficking - Involuntary Servitude,12,2020,1
Calumet,Brillion PD,Human Trafficking - Involuntary Servitude,12,2020,0
Calumet,New Holstein PD,Human Trafficking - Commercial Sex,12,2020,0
Calumet,Chilton PD,Human Trafficking - Commercial Sex,12,2020,0
Calumet,Calumet Co SO,Human Trafficking - Commercial Sex,12,2020,0
Calumet,Brillion PD,Human Trafficking - Commercial Sex,12,2020,0
Calumet,New Holstein PD,Simple Assault,12,2020,21
Calumet,Chilton PD,Simple Assault,12,2020,13
Calumet,Calumet Co SO,Simple Assault,12,2020,40
Calumet,Brillion PD,Simple Assault,12,2020,9
Calumet,New Holstein PD,Arson,12,2020,0
Calumet,Chilton PD,Arson,12,2020,0
Calumet,Calumet Co SO,Arson,12,2020,0
Calumet,Brillion PD,Arson,12,2020,1
Calumet,New Holstein PD,Motor Vehicle Theft,12,2020,1
Calumet,Chilton PD,Motor Vehicle Theft,12,2020,1
Calumet,Calumet Co SO,Motor Vehicle Theft,12,2020,6
Calumet,Brillion PD,Motor Vehicle Theft,12,2020,0
Calumet,New Holstein PD,Larceny Theft,12,2020,13
Calumet,Chilton PD,Larceny Theft,12,2020,45
Calumet,Calumet Co SO,Larceny Theft,12,2020,71
Calumet,Brillion PD,Larceny Theft,12,2020,21
Calumet,New Holstein PD,Burglary,12,2020,1
Calumet,Chilton PD,Burglary,12,2020,3
Calumet,Calumet Co SO,Burglary,12,2020,13
Calumet,Brillion PD,Burglary,12,2020,4
Calumet,New Holstein PD,Aggravated Assault,12,2020,3
Calumet,Chilton PD,Aggravated Assault,12,2020,6
Calumet,Calumet Co SO,Aggravated Assault,12,2020,16
Calumet,Brillion PD,Aggravated Assault,12,2020,4
Calumet,New Holstein PD,Robbery,12,2020,0
Calumet,Chilton PD,Robbery,12,2020,0
Calumet,Calumet Co SO,Robbery,12,2020,0
Calumet,Brillion PD,Robbery,12,2020,0
Calumet,New Holstein PD,Rape - revised 2017,12,2020,0
Calumet,Chilton PD,Rape - revised 2017,12,2020,1
Calumet,Calumet Co SO,Rape - revised 2017,12,2020,6
Calumet,Brillion PD,Rape - revised 2017,12,2020,0
Calumet,New Holstein PD,Homicide,12,2020,0
Calumet,Chilton PD,Homicide,12,2020,0
Calumet,Calumet Co SO,Homicide,12,2020,0
Calumet,Brillion PD,Homicide,12,2020,0
Chippewa,Stanley PD,Human Trafficking - Involuntary Servitude,12,2020,0
Chippewa,Lake Hallie PD,Human Trafficking - Involuntary Servitude,12,2020,0
Chippewa,Cornell PD,Human Trafficking - Involuntary Servitude,12,2020,0
Chippewa,Chippewa Falls PD,Human Trafficking - Involuntary Servitude,12,2020,0
Chippewa,Chippewa Co SO,Human Trafficking - Involuntary Servitude,12,2020,0
Chippewa,Bloomer PD,Human Trafficking - Involuntary Servitude,12,2020,0
Chippewa,Stanley PD,Human Trafficking - Commercial Sex,12,2020,0
Chippewa,Lake Hallie PD,Human Trafficking - Commercial Sex,12,2020,0
Chippewa,Cornell PD,Human Trafficking - Commercial Sex,12,2020,0
Chippewa,Chippewa Falls PD,Human Trafficking - Commercial Sex,12,2020,0
Chippewa,Chippewa Co SO,Human Trafficking - Commercial Sex,12,2020,0
Chippewa,Bloomer PD,Human Trafficking - Commercial Sex,12,2020,0
Chippewa,Stanley PD,Simple Assault,12,2020,16
Chippewa,Lake Hallie PD,Simple Assault,12,2020,50
Chippewa,Cornell PD,Simple Assault,12,2020,8
Chippewa,Chippewa Falls PD,Simple Assault,12,2020,102
