County,Agency Name,Offense Description,Agency Name,County,Offense Description,Min. months_submitted,Min. year of year,Offense Count
Bayfield,Iron River PD,Motor Vehicle Theft,Iron River PD,Bayfield,Motor Vehicle Theft,12,2019,2
Bayfield,Bayfield PD,Motor Vehicle Theft,Bayfield PD,Bayfield,Motor Vehicle Theft,12,2019,1
Bayfield,Bayfield Co SO,Motor Vehicle Theft,Bayfield Co SO,Bayfield,Motor Vehicle Theft,12,2019,7
Bayfield,Washburn PD,Larceny Theft,Washburn PD,Bayfield,Larceny Theft,12,2019,9
Bayfield,Iron River PD,Larceny Theft,Iron River PD,Bayfield,Larceny Theft,12,2019,8
Bayfield,Bayfield PD,Larceny Theft,Bayfield PD,Bayfield,Larceny Theft,12,2019,12
Bayfield,Bayfield Co SO,Larceny Theft,Bayfield Co SO,Bayfield,Larceny Theft,12,2019,40
Bayfield,Washburn PD,Burglary,Washburn PD,Bayfield,Burglary,12,2019,1
Bayfield,Iron River PD,Burglary,Iron River PD,Bayfield,Burglary,12,2019,2
Bayfield,Bayfield PD,Burglary,Bayfield PD,Bayfield,Burglary,12,2019,6
Bayfield,Bayfield Co SO,Burglary,Bayfield Co SO,Bayfield,Burglary,12,2019,33
Bayfield,Washburn PD,Aggravated Assault,Washburn PD,Bayfield,Aggravated Assault,12,2019,10
Bayfield,Iron River PD,Aggravated Assault,Iron River PD,Bayfield,Aggravated Assault,12,2019,0
Bayfield,Bayfield PD,Aggravated Assault,Bayfield PD,Bayfield,Aggravated Assault,12,2019,1
Bayfield,Bayfield Co SO,Aggravated Assault,Bayfield Co SO,Bayfield,Aggravated Assault,12,2019,16
Bayfield,Washburn PD,Robbery,Washburn PD,Bayfield,Robbery,12,2019,0
Bayfield,Iron River PD,Robbery,Iron River PD,Bayfield,Robbery,12,2019,0
Bayfield,Bayfield PD,Robbery,Bayfield PD,Bayfield,Robbery,12,2019,0
Bayfield,Bayfield Co SO,Robbery,Bayfield Co SO,Bayfield,Robbery,12,2019,0
Bayfield,Washburn PD,Rape - revised 2017,Washburn PD,Bayfield,Rape - revised 2017,12,2019,0
Bayfield,Iron River PD,Rape - revised 2017,Iron River PD,Bayfield,Rape - revised 2017,12,2019,1
Bayfield,Bayfield PD,Rape - revised 2017,Bayfield PD,Bayfield,Rape - revised 2017,12,2019,0
Bayfield,Bayfield Co SO,Rape - revised 2017,Bayfield Co SO,Bayfield,Rape - revised 2017,12,2019,3
