,State,County_x,Agency Name,Offense Description,Min. year of year_x,Offense Count_x,County_y,Min. year of year_y,Offense Count_y,County,Min. year of year,Offense Count
96,WI,Bayfield,Bayfield PD,Arson,2018,0,Bayfield,2019,0,Bayfield,2020,0
97,WI,Bayfield,Bayfield Co SO,Arson,2018,1,Bayfield,2019,0,Bayfield,2020,2
98,WI,Bayfield,Washburn PD,Motor Vehicle Theft,2018,3,Bayfield,2019,0,Bayfield,2020,0
99,WI,Bayfield,Iron River PD,Motor Vehicle Theft,2018,0,Bayfield,2019,2,Bayfield,2020,0
100,WI,Bayfield,Bayfield PD,Motor Vehicle Theft,2018,3,Bayfield,2019,1,Bayfield,2020,0
101,WI,Bayfield,Bayfield Co SO,Motor Vehicle Theft,2018,4,Bayfield,2019,7,Bayfield,2020,10
102,WI,Bayfield,Washburn PD,Larceny Theft,2018,12,Bayfield,2019,9,Bayfield,2020,7
103,WI,Bayfield,Iron River PD,Larceny Theft,2018,3,Bayfield,2019,8,Bayfield,2020,7
104,WI,Bayfield,Bayfield PD,Larceny Theft,2018,10,Bayfield,2019,12,Bayfield,2020,13
105,WI,Bayfield,Bayfield Co SO,Larceny Theft,2018,39,Bayfield,2019,40,Bayfield,2020,65
106,WI,Bayfield,Washburn PD,Burglary,2018,1,Bayfield,2019,1,Bayfield,2020,2
107,WI,Bayfield,Iron River PD,Burglary,2018,1,Bayfield,2019,2,Bayfield,2020,5
108,WI,Bayfield,Bayfield PD,Burglary,2018,11,Bayfield,2019,6,Bayfield,2020,2
109,WI,Bayfield,Bayfield Co SO,Burglary,2018,38,Bayfield,2019,33,Bayfield,2020,18
110,WI,Bayfield,Washburn PD,Aggravated Assault,2018,5,Bayfield,2019,10,Bayfield,2020,5
111,WI,Bayfield,Iron River PD,Aggravated Assault,2018,1,Bayfield,2019,0,Bayfield,2020,2
112,WI,Bayfield,Bayfield PD,Aggravated Assault,2018,2,Bayfield,2019,1,Bayfield,2020,2
113,WI,Bayfield,Bayfield Co SO,Aggravated Assault,2018,16,Bayfield,2019,16,Bayfield,2020,13
114,WI,Bayfield,Washburn PD,Robbery,2018,0,Bayfield,2019,0,Bayfield,2020,0
115,WI,Bayfield,Iron River PD,Robbery,2018,0,Bayfield,2019,0,Bayfield,2020,0
116,WI,Bayfield,Bayfield PD,Robbery,2018,0,Bayfield,2019,0,Bayfield,2020,0
117,WI,Bayfield,Bayfield Co SO,Robbery,2018,0,Bayfield,2019,0,Bayfield,2020,0
118,WI,Bayfield,Washburn PD,Rape - revised 2017,2018,1,Bayfield,2019,0,Bayfield,2020,2
119,WI,Bayfield,Iron River PD,Rape - revised 2017,2018,0,Bayfield,2019,1,Bayfield,2020,0
120,WI,Bayfield,Bayfield PD,Rape - revised 2017,2018,0,Bayfield,2019,0,Bayfield,2020,0
121,WI,Bayfield,Bayfield Co SO,Rape - revised 2017,2018,0,Bayfield,2019,3,Bayfield,2020,1
122,WI,Bayfield,Washburn PD,Homicide,2018,0,Bayfield,2019,0,Bayfield,2020,0
123,WI,Bayfield,Iron River PD,Homicide,2018,0,Bayfield,2019,0,Bayfield,2020,0
124,WI,Bayfield,Bayfield PD,Homicide,2018,0,Bayfield,2019,0,Bayfield,2020,0
125,WI,Bayfield,Bayfield Co SO,Homicide,2018,0,Bayfield,2019,0,Bayfield,2020,1
126,WI,Brown,UW-Green Bay PD,Simple Assault,2018,1,Brown,2019,1,Brown,2020,0
127,WI,Brown,Pulaski PD,Simple Assault,2018,0,Brown,2019,0,Brown,2020,0
128,WI,Brown,Hobart-Lawrence PD,Simple Assault,2018,10,Brown,2019,18,Brown,2020,15
129,WI,Brown,Green Bay PD,Simple Assault,2018,"1,016",Brown,2019,"1,023",Brown,2020,797
130,WI,Brown,De Pere PD,Simple Assault,2018,45,Brown,2019,39,Brown,2020,34
131,WI,Brown,Brown Co SO,Simple Assault,2018,197,Brown,2019,166,Brown,2020,192
132,WI,Brown,Ashwaubenon PD,Simple Assault,2018,73,Brown,2019,75,Brown,2020,57
133,WI,Brown,UW-Green Bay PD,Arson,2018,0,Brown,2019,0,Brown,2020,0
134,WI,Brown,Pulaski PD,Arson,2018,0,Brown,2019,0,Brown,2020,0
135,WI,Brown,Hobart-Lawrence PD,Arson,2018,1,Brown,2019,0,Brown,2020,0
136,WI,Brown,Green Bay PD,Arson,2018,7,Brown,2019,10,Brown,2020,12
137,WI,Brown,De Pere PD,Arson,2018,0,Brown,2019,6,Brown,2020,1
138,WI,Brown,Brown Co SO,Arson,2018,4,Brown,2019,2,Brown,2020,5
139,WI,Brown,Ashwaubenon PD,Arson,2018,2,Brown,2019,0,Brown,2020,0
140,WI,Brown,UW-Green Bay PD,Motor Vehicle Theft,2018,0,Brown,2019,0,Brown,2020,0
141,WI,Brown,Pulaski PD,Motor Vehicle Theft,2018,1,Brown,2019,1,Brown,2020,1
142,WI,Brown,Hobart-Lawrence PD,Motor Vehicle Theft,2018,2,Brown,2019,1,Brown,2020,1
143,WI,Brown,Green Bay PD,Motor Vehicle Theft,2018,102,Brown,2019,124,Brown,2020,115
144,WI,Brown,De Pere PD,Motor Vehicle Theft,2018,7,Brown,2019,4,Brown,2020,5
145,WI,Brown,Brown Co SO,Motor Vehicle Theft,2018,30,Brown,2019,31,Brown,2020,27
146,WI,Brown,Ashwaubenon PD,Motor Vehicle Theft,2018,15,Brown,2019,12,Brown,2020,28
147,WI,Brown,UW-Green Bay PD,Larceny Theft,2018,8,Brown,2019,16,Brown,2020,12
148,WI,Brown,Pulaski PD,Larceny Theft,2018,19,Brown,2019,15,Brown,2020,22
149,WI,Brown,Hobart-Lawrence PD,Larceny Theft,2018,36,Brown,2019,35,Brown,2020,41
150,WI,Brown,Green Bay PD,Larceny Theft,2018,"1,460",Brown,2019,"1,362",Brown,2020,"1,277"
151,WI,Brown,De Pere PD,Larceny Theft,2018,187,Brown,2019,195,Brown,2020,152
152,WI,Brown,Brown Co SO,Larceny Theft,2018,527,Brown,2019,571,Brown,2020,605
153,WI,Brown,Ashwaubenon PD,Larceny Theft,2018,366,Brown,2019,446,Brown,2020,241
154,WI,Brown,UW-Green Bay PD,Burglary,2018,0,Brown,2019,0,Brown,2020,0
155,WI,Brown,Pulaski PD,Burglary,2018,1,Brown,2019,0,Brown,2020,0
156,WI,Brown,Hobart-Lawrence PD,Burglary,2018,31,Brown,2019,8,Brown,2020,63
157,WI,Brown,Green Bay PD,Burglary,2018,252,Brown,2019,245,Brown,2020,206
158,WI,Brown,De Pere PD,Burglary,2018,17,Brown,2019,21,Brown,2020,22
