County,Agency_Name,Offense_Description,Min_months_submitted,Year,Offense_Count
Clark,Clark Co SO,Burglary,12,2018,23
Clark,Thorp PD,Aggravated Assault,11,2018,0
Clark,Neillsville PD,Aggravated Assault,12,2018,1
Clark,Colby-Abbotsford PD,Aggravated Assault,12,2018,4
Clark,Clark Co SO,Aggravated Assault,12,2018,5
Clark,Thorp PD,Robbery,11,2018,0
Clark,Neillsville PD,Robbery,12,2018,0
Clark,Colby-Abbotsford PD,Robbery,12,2018,0
Clark,Clark Co SO,Robbery,12,2018,0
Clark,Thorp PD,Rape - revised 2017,11,2018,0
Clark,Neillsville PD,Rape - revised 2017,12,2018,1
Clark,Colby-Abbotsford PD,Rape - revised 2017,12,2018,0
Clark,Clark Co SO,Rape - revised 2017,12,2018,0
Clark,Thorp PD,Homicide,11,2018,0
Clark,Neillsville PD,Homicide,12,2018,0
Clark,Colby-Abbotsford PD,Homicide,12,2018,2
Clark,Clark Co SO,Homicide,12,2018,0
Columbia,Wisconsin Dells PD,Simple Assault,12,2018,23
Columbia,Rio PD,Simple Assault,12,2018,0
Columbia,Poynette PD,Simple Assault,12,2018,6
Columbia,Portage PD,Simple Assault,12,2018,105
Columbia,Lodi PD,Simple Assault,12,2018,2
Columbia,Fall River PD,Simple Assault,12,2018,2
Columbia,Columbus PD,Simple Assault,12,2018,8
Columbia,Columbia Co SO,Simple Assault,12,2018,110
Columbia,Wisconsin Dells PD,Arson,12,2018,0
Columbia,Rio PD,Arson,12,2018,0
Columbia,Poynette PD,Arson,12,2018,0
Columbia,Portage PD,Arson,12,2018,1
Columbia,Lodi PD,Arson,12,2018,0
Columbia,Fall River PD,Arson,12,2018,0
Columbia,Columbus PD,Arson,12,2018,0
Columbia,Columbia Co SO,Arson,12,2018,1
Columbia,Wisconsin Dells PD,Motor Vehicle Theft,12,2018,6
Columbia,Rio PD,Motor Vehicle Theft,12,2018,0
Columbia,Poynette PD,Motor Vehicle Theft,12,2018,0
Columbia,Portage PD,Motor Vehicle Theft,12,2018,3
Columbia,Lodi PD,Motor Vehicle Theft,12,2018,1
Columbia,Fall River PD,Motor Vehicle Theft,12,2018,0
Columbia,Columbus PD,Motor Vehicle Theft,12,2018,1
Columbia,Columbia Co SO,Motor Vehicle Theft,12,2018,16
Columbia,Wisconsin Dells PD,Larceny Theft,12,2018,131
Columbia,Rio PD,Larceny Theft,12,2018,3
Columbia,Poynette PD,Larceny Theft,12,2018,8
Columbia,Portage PD,Larceny Theft,12,2018,127
Columbia,Lodi PD,Larceny Theft,12,2018,5
Columbia,Fall River PD,Larceny Theft,12,2018,0
Columbia,Columbus PD,Larceny Theft,12,2018,19
Columbia,Columbia Co SO,Larceny Theft,12,2018,128
Columbia,Wisconsin Dells PD,Burglary,12,2018,9
Columbia,Rio PD,Burglary,12,2018,0
Columbia,Poynette PD,Burglary,12,2018,0
Columbia,Portage PD,Burglary,12,2018,26
Columbia,Lodi PD,Burglary,12,2018,1
Columbia,Fall River PD,Burglary,12,2018,0
Columbia,Columbus PD,Burglary,12,2018,1
Columbia,Columbia Co SO,Burglary,12,2018,44
Columbia,Wisconsin Dells PD,Aggravated Assault,12,2018,6
Columbia,Rio PD,Aggravated Assault,12,2018,0
Columbia,Poynette PD,Aggravated Assault,12,2018,4
Columbia,Portage PD,Aggravated Assault,12,2018,17
Columbia,Lodi PD,Aggravated Assault,12,2018,2
Columbia,Fall River PD,Aggravated Assault,12,2018,2
Columbia,Columbus PD,Aggravated Assault,12,2018,17
Columbia,Columbia Co SO,Aggravated Assault,12,2018,12
Columbia,Wisconsin Dells PD,Robbery,12,2018,0
Columbia,Rio PD,Robbery,12,2018,0
Columbia,Poynette PD,Robbery,12,2018,0
Columbia,Portage PD,Robbery,12,2018,3
Columbia,Lodi PD,Robbery,12,2018,0
Columbia,Fall River PD,Robbery,12,2018,0
Columbia,Columbus PD,Robbery,12,2018,0
Columbia,Columbia Co SO,Robbery,12,2018,1
Columbia,Wisconsin Dells PD,Rape - revised 2017,12,2018,4
Columbia,Rio PD,Rape - revised 2017,12,2018,0
Columbia,Poynette PD,Rape - revised 2017,12,2018,3
Columbia,Portage PD,Rape - revised 2017,12,2018,4
Columbia,Lodi PD,Rape - revised 2017,12,2018,0
Columbia,Fall River PD,Rape - revised 2017,12,2018,0
Columbia,Columbus PD,Rape - revised 2017,12,2018,8
Columbia,Columbia Co SO,Rape - revised 2017,12,2018,8
Columbia,Wisconsin Dells PD,Homicide,12,2018,0
Columbia,Rio PD,Homicide,12,2018,0
Columbia,Poynette PD,Homicide,12,2018,0
Columbia,Portage PD,Homicide,12,2018,1
Columbia,Lodi PD,Homicide,12,2018,0
Columbia,Fall River PD,Homicide,12,2018,0
Columbia,Columbus PD,Homicide,12,2018,0
Columbia,Columbia Co SO,Homicide,12,2018,1
Crawford,Prairie du Chien PD,Simple Assault,12,2018,16
Crawford,Crawford Co SO,Simple Assault,12,2018,17
Crawford,Prairie du Chien PD,Arson,12,2018,1
Crawford,Crawford Co SO,Arson,12,2018,0
Crawford,Prairie du Chien PD,Motor Vehicle Theft,12,2018,0
Crawford,Crawford Co SO,Motor Vehicle Theft,12,2018,2
Crawford,Prairie du Chien PD,Larceny Theft,12,2018,110
Crawford,Crawford Co SO,Larceny Theft,12,2018,90
Crawford,Prairie du Chien PD,Burglary,12,2018,7
Crawford,Crawford Co SO,Burglary,12,2018,13
Crawford,Prairie du Chien PD,Aggravated Assault,12,2018,5
Crawford,Crawford Co SO,Aggravated Assault,12,2018,13
Crawford,Prairie du Chien PD,Robbery,12,2018,0
Crawford,Crawford Co SO,Robbery,12,2018,0
Crawford,Prairie du Chien PD,Rape - revised 2017,12,2018,4
Crawford,Crawford Co SO,Rape - revised 2017,12,2018,4
Crawford,Prairie du Chien PD,Homicide,12,2018,0
Crawford,Crawford Co SO,Homicide,12,2018,0
Dane,Waunakee PD,Simple Assault,12,2018,11
Dane,Verona PD,Simple Assault,12,2018,47
Dane,UW-Madison PD,Simple Assault,12,2018,35
Dane,Sun Prairie PD,Simple Assault,12,2018,63
Dane,Stoughton PD,Simple Assault,12,2018,52
Dane,Shorewood Hills PD,Simple Assault,12,2018,2
Dane,Oregon PD,Simple Assault,12,2018,28
Dane,Mount Horeb PD,Simple Assault,12,2018,23
Dane,Monona PD,Simple Assault,12,2018,15
Dane,Middleton PD,Simple Assault,12,2018,38
Dane,Mc Farland PD,Simple Assault,12,2018,21
Dane,Marshall PD,Simple Assault,12,2018,16
Dane,Maple Bluff PD,Simple Assault,12,2018,0
Dane,Madison Town PD,Simple Assault,12,2018,42
Dane,Madison PD,Simple Assault,12,2018,"1,027"
Dane,Fitchburg PD,Simple Assault,12,2018,272
Dane,DeForest PD,Simple Assault,12,2018,39
Dane,Dane Co SO,Simple Assault,12,2018,342
Dane,Cross Plains PD,Simple Assault,12,2018,3
Dane,Cottage Grove PD,Simple Assault,12,2018,10
Dane,Brooklyn PD,Simple Assault,12,2018,4
Dane,Blue Mounds PD,Simple Assault,8,2018,0
Dane,Belleville PD,Simple Assault,12,2018,4
Dane,Waunakee PD,Arson,12,2018,0
Dane,Verona PD,Arson,12,2018,1
Dane,UW-Madison PD,Arson,12,2018,1
Dane,Sun Prairie PD,Arson,12,2018,4
Dane,Stoughton PD,Arson,12,2018,0
Dane,Shorewood Hills PD,Arson,12,2018,0
Dane,Oregon PD,Arson,12,2018,0
Dane,Mount Horeb PD,Arson,12,2018,1
Dane,Monona PD,Arson,12,2018,0
Dane,Middleton PD,Arson,12,2018,0
Dane,Mc Farland PD,Arson,12,2018,0
Dane,Marshall PD,Arson,12,2018,0
Dane,Maple Bluff PD,Arson,12,2018,0
Dane,Madison Town PD,Arson,12,2018,0
Dane,Madison PD,Arson,12,2018,16
Dane,Fitchburg PD,Arson,12,2018,0
Dane,DeForest PD,Arson,12,2018,0
Dane,Dane Co SO,Arson,12,2018,1
Dane,Cross Plains PD,Arson,12,2018,0
Dane,Cottage Grove PD,Arson,12,2018,0
Dane,Brooklyn PD,Arson,12,2018,0
Dane,Blue Mounds PD,Arson,8,2018,0
Dane,Belleville PD,Arson,12,2018,0
Dane,Waunakee PD,Motor Vehicle Theft,12,2018,9
Dane,Verona PD,Motor Vehicle Theft,12,2018,11
Dane,UW-Madison PD,Motor Vehicle Theft,12,2018,5
Dane,Sun Prairie PD,Motor Vehicle Theft,12,2018,44
Dane,Stoughton PD,Motor Vehicle Theft,12,2018,6
