State,County,_2003_Rural_urban_Continuum_Code,_2003_Urban_Influence_Code,_2013_Rural_urban_Continuum_Code,_2013_Urban_Influence_Code,Less_than_a_high_school_diploma_1970,High_school_diploma_only_1970,Some_college_1970,Four_years_of_college_or_higher_1970,Percent_less_than_a_high_school_diploma_1970,Percent_high_school_diploma_only_1970,Percent_completing_some_college_1970,Percent_completing_four_years_of_college_or_higher_1970,Less_than_a_high_school_diploma_1980,High_school_diploma_only_1980,Some_college_1980,Four_years_of_college_or_higher_1980,Percent_less_than_a_high_school_diploma_1980,Percent_high_school_diploma_only_1980,Percent_completing_some_college_1980,Percent_completing_four_years_of_college_or_higher_1980,Less_than_a_high_school_diploma_1990,High_school_diploma_only_1990,Some_college_or_associates_degree_1990,Bachelors_degree_or_higher_1990,Percent_less_than_a_high_school_diploma_1990,Percent_high_school_diploma_only_1990,Percent_completing_some_college_or_associates_degree_1990,Percent_bachelors_degree_or_higher_1990,Less_than_a_high_school_diploma_2000,High_school_diploma_only_2000,Some_college_or_associates_degree_2000,Bachelors_degree_or_higher_2000,Percent_less_than_a_high_school_diploma_2000,Percent_high_school_diploma_only_2000,Percent_completing_some_college_or_associates_degree_2000,Percent_bachelors_degree_or_higher_2000,Less_than_a_high_school_diploma_2015_19,High_school_diploma_only_2015_19,Some_college_or_associates_degree_2015_19,Bachelors_degree_or_higher_2015_19,Percent_less_than_a_high_school_diploma_2015_19,Percent_high_school_diploma_only_2015_19,Percent_completing_some_college_or_associates_degree_2015_19,Percent_bachelors_degree_or_higher_2015_19
WI,Dane,2,2,2,2,"39,825","48,217","18,314","31,965",28.8,34.9,13.2,23.1,"29,431","61,259","34,457","55,877",16.3,33.8,19,30.9,"25,086","61,115","62,596","77,176",11.1,27,27.7,34.2,"21,177","60,220","78,878","109,723",7.8,22.3,29.2,40.6,"14,817","62,744","94,026","181,123",4.2,17.8,26.7,51.4
WI,Dodge,4,3,4,3,"20,848","11,953","2,850","2,267",55,31.5,7.5,6,"16,924","18,544","4,719","4,085",38.2,41.9,10.7,9.2,"13,776","21,602","9,238","5,078",27.7,43.5,18.6,10.2,"10,153","25,031","14,667","7,602",17.7,43.6,25.5,13.2,"5,820","25,813","20,773","10,737",9.2,40.9,32.9,17
WI,Door,6,6,6,6,"5,934","3,877","1,157",731,50.7,33.1,9.9,6.2,"4,867","6,182","2,110","1,979",32.2,40.8,13.9,13.1,"3,549","7,021","3,945","2,854",20.4,40.4,22.7,16.4,"2,453","7,741","5,574","4,294",12.2,38.6,27.8,21.4,"1,212","6,535","6,529","7,258",5.6,30.3,30.3,33.7
WI,Douglas,2,2,2,2,"10,981","8,760","2,594","2,049",45,35.9,10.6,8.4,"8,036","11,247","3,765","3,085",30.8,43,14.4,11.8,"6,165","10,705","6,173","4,017",22.8,39.6,22.8,14.8,"4,053","10,370","8,990","5,240",14.1,36.2,31.4,18.3,"1,937","9,613","11,883","7,456",6.3,31.1,38.5,24.1
WI,Dunn,6,5,6,3,"7,279","4,461","1,407","1,366",50.2,30.7,9.7,9.4,"5,624","6,273","2,634","2,824",32.4,36.1,15.2,16.3,"4,413","7,356","4,144","3,842",22.3,37.2,21,19.4,"3,023","8,353","6,496","4,772",13.4,36.9,28.7,21.1,"1,717","9,096","8,866","7,612",6.3,33.3,32.5,27.9
WI,EauClaire,3,2,3,2,"13,280","12,763","3,892","3,771",39.4,37.9,11.5,11.2,"10,526","17,425","6,553","7,534",25,41.5,15.6,17.9,"8,491","17,509","13,002","10,334",17.2,35.5,26.4,20.9,"6,133","17,212","17,009","14,936",11.1,31.1,30.8,27,"3,880","16,400","24,043","21,183",5.9,25,36.7,32.3
WI,Florence,9,8,9,8,952,716,79,105,51.4,38.7,4.3,5.7,954,"1,089",280,211,37.6,43,11,8.3,759,"1,345",680,273,24.8,44,22.2,8.9,592,"1,614",982,453,16.3,44.3,27,12.4,238,"1,293","1,220",685,6.9,37.6,35.5,19.9
WI,FondduLac,3,2,3,2,"21,170","15,527","3,577","3,688",48.2,35.3,8.1,8.4,"16,163","22,509","6,305","5,752",31.9,44.4,12.4,11.3,"12,768","24,259","12,174","7,563",22.5,42.7,21.4,13.3,"10,026","25,479","17,328","10,715",15.8,40.1,27.3,16.9,"5,842","25,836","23,454","16,516",8.2,36.1,32.7,23.1
WI,Forest,9,10,9,12,"2,505","1,248",243,145,60.5,30.1,5.9,3.5,"2,240","2,005",557,415,42.9,38.4,10.7,8,"2,012","2,177",990,429,35.9,38.8,17.7,7.6,"1,439","2,859","1,725",671,21.5,42.7,25.8,10,722,"2,523","2,253",946,11.2,39.2,35,14.7
WI,Grant,6,5,6,5,"11,315","7,709","2,501","2,103",47.9,32.6,10.6,8.9,"8,887","11,234","3,474","3,791",32.5,41,12.7,13.8,"6,450","12,464","5,956","4,290",22.1,42.7,20.4,14.7,"5,059","12,255","8,058","5,253",16.5,40,26.3,17.2,"2,463","11,171","10,580","7,583",7.7,35.1,33.3,23.8
WI,Green,6,5,2,2,"7,372","5,203","1,386","1,025",49.2,34.7,9.2,6.8,"5,870","7,606","2,336","1,936",33.1,42.9,13.2,10.9,"4,577","8,532","4,235","2,364",23.2,43.3,21.5,12,"3,577","9,085","6,107","3,754",15.9,40.3,27.1,16.7,"1,969","9,234","8,699","6,144",7.6,35.5,33.4,23.6
WI,GreenLake,6,6,6,6,"5,024","3,202","1,002",635,50.9,32.5,10.2,6.4,"4,269","4,656","1,285","1,184",37.5,40.9,11.3,10.4,"3,169","5,364","2,500","1,420",25.4,43.1,20.1,11.4,"2,394","5,547","3,372","1,916",18.1,41.9,25.5,14.5,"1,361","5,136","4,110","2,679",10.2,38.7,30.9,20.2
WI,Iowa,2,2,2,2,"4,489","3,704","1,224",621,44.7,36.9,12.2,6.2,"3,332","5,084","1,577","1,286",29.5,45.1,14,11.4,"2,473","5,812","2,770","1,692",19.4,45.6,21.7,13.3,"1,743","6,306","4,264","2,787",11.5,41.8,28.2,18.5,794,"5,858","5,867","4,078",4.8,35.3,35.3,24.6
WI,Iron,9,12,9,12,"2,283","1,339",301,202,55.3,32.5,7.3,4.9,"1,654","1,723",675,374,37.4,38.9,15.3,8.5,"1,125","1,678","1,178",466,25.3,37.7,26.5,10.5,835,"1,951","1,664",674,16.3,38.1,32.5,13.2,251,"1,546","1,876",919,5.5,33.7,40.9,20
WI,Jackson,6,6,6,6,"4,948","2,820",452,397,57.4,32.7,5.2,4.6,"3,936","4,289","1,115",807,38.8,42.3,11,8,"3,367","4,531","1,957",945,31.2,42,18.1,8.8,"2,686","5,333","3,318","1,442",21,41.7,26,11.3,"1,465","6,026","4,892","2,111",10.1,41.6,33.8,14.6
WI,Jefferson,4,3,4,3,"15,420","11,076","2,996","2,635",48,34.5,9.3,8.2,"12,173","15,775","4,961","4,725",32.3,41.9,13.2,12.6,"9,724","16,789","9,318","6,383",23,39.8,22.1,15.1,"7,509","18,892","14,135","8,521",15.3,38.5,28.8,17.4,"4,806","19,541","19,312","14,887",8.2,33.4,33,25.4
WI,Juneau,7,9,7,9,"5,586","3,249","1,020",457,54.2,31.5,9.9,4.4,"5,172","5,102","1,391",979,40.9,40.4,11,7.7,"4,180","5,929","2,879","1,222",29.4,41.7,20.3,8.6,"3,543","7,076","4,197","1,641",21.5,43,25.5,10,"2,248","8,071","6,461","2,675",11.6,41.5,33.2,13.7
WI,Kenosha,1,1,1,1,"31,692","20,830","5,109","4,216",51.2,33.7,8.3,6.8,"24,863","28,670","9,524","7,578",35.2,40.6,13.5,10.7,"20,128","29,482","20,934","10,250",24.9,36.5,25.9,12.7,"15,645","31,711","29,436","18,246",16.5,33.4,31,19.2,"11,191","34,002","38,291","29,553",9.9,30.1,33.9,26.1
WI,Kewaunee,2,2,2,2,"5,440","3,454",612,358,55.2,35,6.2,3.6,"4,079","4,931","1,162",847,37,44.7,10.5,7.7,"3,160","5,727","2,082",976,26.5,47.9,17.4,8.2,"2,133","6,338","3,345","1,520",16,47.5,25.1,11.4,"1,000","5,802","4,907","2,824",6.9,39.9,33.8,19.4
WI,LaCrosse,3,2,3,2,"16,602","15,400","4,877","4,637",40,37.1,11.7,11.2,"13,192","19,582","8,435","8,649",26.5,39.3,16.9,17.3,"10,208","20,126","15,901","12,351",17.4,34.4,27.1,21.1,"6,749","20,823","21,121","16,570",10.3,31.9,32.4,25.4,"3,775","19,189","26,183","26,309",5,25.4,34.7,34.9
