Stabr,County,Rural_urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural_urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2019,CI90LBALL_2019,CI90UBALL_2019,PCTPOVALL_2019,CI90LBALLP_2019,CI90UBALLP_2019,POV017_2019,CI90LB017_2019,CI90UB017_2019,PCTPOV017_2019,CI90LB017P_2019,CI90UB017P_2019,POV517_2019,CI90LB517_2019,CI90UB517_2019,PCTPOV517_2019,CI90LB517P_2019,CI90UB517P_2019,MEDHHINC_2019,CI90LBINC_2019,CI90UBINC_2019
WI,Vernon,6,6,6,6,4297,3498,5096,14.1,11.5,16.7,1880,1409,2351,23.8,17.8,29.8,1318,960,1676,22.7,16.5,28.9,56272,53259,59285
WI,Vilas,9,12,9,12,2460,1989,2931,11.2,9.1,13.3,698,500,896,19,13.6,24.4,510,360,660,18.9,13.3,24.5,55576,50731,60421
WI,Walworth,4,3,4,3,9532,7892,11172,9.5,7.9,11.1,1916,1296,2536,9.3,6.3,12.3,1321,860,1782,8.4,5.5,11.3,64682,60871,68493
WI,Washburn,6,6,7,11,1990,1668,2312,12.8,10.7,14.9,528,400,656,18.3,13.9,22.7,392,296,488,18,13.6,22.4,52735,47979,57491
WI,Washington,1,1,1,1,6942,5513,8371,5.1,4,6.2,1635,1203,2067,5.6,4.1,7.1,968,657,1279,4.4,3,5.8,81928,76938,86918
WI,Waukesha,1,1,1,1,18915,16096,21734,4.7,4,5.4,4410,3551,5269,5.2,4.2,6.2,3024,2352,3696,4.7,3.6,5.8,91070,87795,94345
WI,Waupaca,6,6,6,6,4329,3442,5216,8.8,7,10.6,1219,857,1581,12.2,8.6,15.8,843,574,1112,11.4,7.8,15,61773,58311,65235
WI,Waushara,8,6,6,6,2863,2381,3345,12.4,10.3,14.5,819,610,1028,18.8,14,23.6,540,378,702,16.7,11.7,21.7,55476,51863,59089
WI,Winnebago,3,2,3,2,15965,13631,18299,9.7,8.3,11.1,4033,3110,4956,11.8,9.1,14.5,2780,2098,3462,11.1,8.4,13.8,59643,56227,63059
WI,Wood,4,5,4,5,7734,6479,8989,10.7,9,12.4,2360,1803,2917,15.3,11.7,18.9,1633,1233,2033,14.4,10.9,17.9,57325,53372,61278
