State,County,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
WI,Forest,9,12,0,"4,643","4,381",262,5.6,"4,936","4,630",306,6.2,"4,935","4,588",347,7,"5,087","4,726",361,7.1,"5,016","4,703",313,6.2,"4,964","4,619",345,7,"5,020","4,693",327,6.5,"5,024","4,672",352,7,"4,896","4,551",345,7,"4,998","4,463",535,10.7,"4,253","3,764",489,11.5,"4,173","3,700",473,11.3,"4,135","3,687",448,10.8,"4,078","3,634",444,10.9,"4,016","3,672",344,8.6,"3,984","3,693",291,7.3,"3,987","3,745",242,6.1,"4,013","3,812",201,5,"3,960","3,769",191,4.8,"3,994","3,792",202,5.1,"3,890","3,407",483,12.4,"48,964",76.3
WI,Grant,6,5,0,"27,467","26,566",901,3.3,"28,236","26,956","1,280",4.5,"28,084","26,735","1,349",4.8,"28,718","27,251","1,467",5.1,"27,421","26,177","1,244",4.5,"26,959","25,782","1,177",4.4,"27,238","26,040","1,198",4.4,"28,220","26,887","1,333",4.7,"28,179","26,806","1,373",4.9,"28,835","26,572","2,263",7.8,"27,797","25,721","2,076",7.5,"27,864","26,019","1,845",6.6,"27,669","26,042","1,627",5.9,"27,643","26,026","1,617",5.8,"27,708","26,394","1,314",4.7,"28,094","26,891","1,203",4.3,"28,126","27,054","1,072",3.8,"28,104","27,224",880,3.1,"28,130","27,339",791,2.8,"27,658","26,782",876,3.2,"27,311","25,875","1,436",5.3,"56,418",87.9
WI,Green,2,2,1,"20,055","19,428",627,3.1,"20,125","19,293",832,4.1,"20,068","19,069",999,5,"20,003","18,929","1,074",5.4,"19,618","18,742",876,4.5,"20,064","19,175",889,4.4,"20,322","19,445",877,4.3,"20,353","19,413",940,4.6,"20,403","19,436",967,4.7,"20,417","18,521","1,896",9.3,"21,288","19,617","1,671",7.8,"21,076","19,667","1,409",6.7,"20,806","19,530","1,276",6.1,"20,856","19,672","1,184",5.7,"20,815","19,890",925,4.4,"21,042","20,259",783,3.7,"21,153","20,466",687,3.2,"21,061","20,485",576,2.7,"20,978","20,437",541,2.6,"20,979","20,389",590,2.8,"20,555","19,570",985,4.8,"64,319",100.2
WI,GreenLake,6,6,0,"10,737","10,317",420,3.9,"10,960","10,383",577,5.3,"10,875","10,178",697,6.4,"10,871","10,120",751,6.9,"10,623","10,008",615,5.8,"10,309","9,707",602,5.8,"10,467","9,898",569,5.4,"10,496","9,935",561,5.3,"10,424","9,837",587,5.6,"10,287","9,254","1,033",10,"10,311","9,368",943,9.1,"10,357","9,531",826,8,"10,300","9,539",761,7.4,"10,202","9,398",804,7.9,"10,031","9,396",635,6.3,"9,966","9,439",527,5.3,"9,733","9,270",463,4.8,"9,679","9,318",361,3.7,"9,669","9,346",323,3.3,"9,417","9,058",359,3.8,"9,253","8,616",637,6.9,"59,458",92.6
WI,Iowa,2,2,1,"13,649","13,267",382,2.8,"13,958","13,468",490,3.5,"14,010","13,435",575,4.1,"14,076","13,467",609,4.3,"14,146","13,584",562,4,"14,301","13,702",599,4.2,"14,392","13,779",613,4.3,"14,048","13,423",625,4.4,"14,100","13,435",665,4.7,"14,064","12,928","1,136",8.1,"13,779","12,665","1,114",8.1,"13,721","12,738",983,7.2,"13,534","12,646",888,6.6,"13,541","12,670",871,6.4,"13,537","12,854",683,5,"13,659","13,093",566,4.1,"13,661","13,195",466,3.4,"13,758","13,355",403,2.9,"13,738","13,378",360,2.6,"13,620","13,236",384,2.8,"13,502","12,678",824,6.1,"67,390",105
WI,Iron,9,12,0,"3,269","3,047",222,6.8,"3,277","3,023",254,7.8,"3,351","3,048",303,9,"3,360","3,044",316,9.4,"3,305","3,009",296,9,"3,197","2,931",266,8.3,"3,191","2,934",257,8.1,"3,063","2,821",242,7.9,"3,032","2,789",243,8,"3,006","2,626",380,12.6,"2,882","2,560",322,11.2,"2,746","2,459",287,10.5,"2,778","2,492",286,10.3,"2,726","2,436",290,10.6,"2,675","2,425",250,9.3,"2,612","2,388",224,8.6,"2,629","2,438",191,7.3,"2,599","2,439",160,6.2,"2,564","2,415",149,5.8,"2,529","2,380",149,5.9,"2,547","2,261",286,11.2,"48,813",76.1
WI,Jackson,6,6,0,"9,810","9,365",445,4.5,"9,810","9,248",562,5.7,"9,863","9,268",595,6,"10,140","9,547",593,5.8,"9,899","9,354",545,5.5,"9,844","9,281",563,5.7,"10,006","9,464",542,5.4,"9,861","9,314",547,5.5,"9,815","9,250",565,5.8,"10,022","9,090",932,9.3,"10,128","9,259",869,8.6,"10,200","9,405",795,7.8,"10,302","9,562",740,7.2,"10,145","9,434",711,7,"10,192","9,604",588,5.8,"10,321","9,840",481,4.7,"10,298","9,859",439,4.3,"10,391","10,045",346,3.3,"10,526","10,197",329,3.1,"10,205","9,817",388,3.8,"9,877","8,959",918,9.3,"57,247",89.2
WI,Jefferson,4,3,0,"43,287","42,041","1,246",2.9,"43,157","41,449","1,708",4,"42,501","40,470","2,031",4.8,"43,211","41,004","2,207",5.1,"43,319","41,170","2,149",5,"42,702","40,769","1,933",4.5,"42,931","41,008","1,923",4.5,"42,241","40,221","2,020",4.8,"42,508","40,414","2,094",4.9,"42,865","38,756","4,109",9.6,"46,492","42,510","3,982",8.6,"46,326","42,905","3,421",7.4,"46,162","43,132","3,030",6.6,"45,899","43,042","2,857",6.2,"45,761","43,512","2,249",4.9,"45,541","43,657","1,884",4.1,"45,585","43,852","1,733",3.8,"45,472","44,028","1,444",3.2,"45,876","44,556","1,320",2.9,"45,660","44,264","1,396",3.1,"45,213","42,762","2,451",5.4,"71,098",110.8
WI,Juneau,7,9,0,"12,815","12,185",630,4.9,"13,145","12,308",837,6.4,"13,023","12,075",948,7.3,"13,117","12,156",961,7.3,"13,149","12,318",831,6.3,"13,351","12,541",810,6.1,"13,506","12,740",766,5.7,"13,295","12,506",789,5.9,"13,394","12,587",807,6,"13,616","12,194","1,422",10.4,"13,697","12,359","1,338",9.8,"13,671","12,446","1,225",9,"13,564","12,444","1,120",8.3,"13,474","12,387","1,087",8.1,"13,366","12,515",851,6.4,"13,475","12,799",676,5,"13,498","12,916",582,4.3,"13,546","13,097",449,3.3,"13,453","13,041",412,3.1,"13,399","12,965",434,3.2,"13,280","12,327",953,7.2,"55,787",86.9
WI,Kenosha,1,1,1,"80,882","77,651","3,231",4,"81,328","77,155","4,173",5.1,"81,259","76,397","4,862",6,"82,375","77,265","5,110",6.2,"82,456","77,694","4,762",5.8,"82,600","77,914","4,686",5.7,"82,952","78,551","4,401",5.3,"84,386","80,126","4,260",5,"85,616","80,901","4,715",5.5,"86,569","77,135","9,434",10.9,"85,715","77,060","8,655",10.1,"85,958","78,378","7,580",8.8,"86,713","79,739","6,974",8,"86,909","80,302","6,607",7.6,"86,666","81,481","5,185",6,"87,124","82,773","4,351",5,"88,081","84,061","4,020",4.6,"89,132","85,691","3,441",3.9,"89,146","85,986","3,160",3.5,"89,666","86,204","3,462",3.9,"88,499","82,200","6,299",7.1,"66,460",103.6
