Stabr,Area_name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2019,CI90LBALL_2019,CI90UBALL_2019,PCTPOVALL_2019,CI90LBALLP_2019,CI90UBALLP_2019,POV017_2019,CI90LB017_2019,CI90UB017_2019,PCTPOV017_2019,CI90LB017P_2019,CI90UB017P_2019,POV517_2019,CI90LB517_2019,CI90UB517_2019,PCTPOV517_2019,CI90LB517P_2019,CI90UB517P_2019,MEDHHINC_2019,CI90LBINC_2019,CI90UBINC_2019
WI,Ozaukee County,1,1,1,1,"3,926","3,094","4,758",4.5,3.5,5.5,819,588,"1,050",4.4,3.2,5.6,536,363,709,3.8,2.6,5.0,"90,446","84,694","96,198"
WI,Pepin County,8,7,8,4,643,478,808,9.0,6.7,11.3,210,142,278,14.1,9.5,18.7,145,93,197,13.4,8.6,18.2,"62,675","56,760","68,590"
WI,Pierce County,1,1,1,1,"3,900","3,402","4,398",9.8,8.6,11.0,609,420,798,7.0,4.8,9.2,414,275,553,6.3,4.2,8.4,"75,368","70,085","80,651"
WI,Polk County,6,4,6,4,"3,723","2,988","4,458",8.6,6.9,10.3,"1,047",745,"1,349",11.9,8.5,15.3,755,527,983,11.4,8.0,14.8,"63,910","60,562","67,258"
WI,Portage County,4,5,4,5,"7,995","6,911","9,079",11.8,10.2,13.4,"1,384","1,011","1,757",10.5,7.7,13.3,897,616,"1,178",9.2,6.3,12.1,"58,248","54,407","62,089"
WI,Price County,9,11,9,12,"1,959","1,680","2,238",14.9,12.8,17.0,513,395,631,21.8,16.8,26.8,348,257,439,19.6,14.4,24.8,"48,761","45,984","51,538"
WI,Racine County,3,2,3,2,"23,688","20,473","26,903",12.4,10.7,14.1,"7,371","5,731","9,011",16.8,13.1,20.5,"5,169","3,985","6,353",16.0,12.3,19.7,"61,691","58,512","64,870"
WI,Richland County,6,6,6,6,"2,115","1,677","2,553",12.5,9.9,15.1,672,479,865,18.5,13.2,23.8,450,300,600,16.4,10.9,21.9,"51,295","47,731","54,859"
WI,Rock County,3,2,3,2,"19,755","17,313","22,197",12.3,10.8,13.8,"6,462","5,318","7,606",17.7,14.6,20.8,"4,312","3,472","5,152",16.1,13.0,19.2,"61,624","58,586","64,662"
WI,Rusk County,6,6,6,6,"1,714","1,324","2,104",12.3,9.5,15.1,603,414,792,21.4,14.7,28.1,404,261,547,19.5,12.6,26.4,"49,860","46,034","53,686"
