State,County,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
WI,FondduLac,3,2,1,55774,54102,1672,3,56371,54069,2302,4.1,56863,54064,2799,4.9,56867,53836,3031,5.3,56514,53875,2639,4.7,56026,53441,2585,4.6,56596,53971,2625,4.6,56879,54238,2641,4.6,57058,54298,2760,4.8,56468,51152,5316,9.4,56550,51832,4718,8.3,56084,52087,3997,7.1,56061,52476,3585,6.4,57054,53569,3485,6.1,57050,54285,2765,4.8,56896,54630,2266,4,56786,54835,1951,3.4,56867,55260,1607,2.8,57009,55492,1517,2.7,57008,55360,1648,2.9,56114,52828,3286,5.9,65905,102.7
WI,Forest,9,12,0,4643,4381,262,5.6,4936,4630,306,6.2,4935,4588,347,7,5087,4726,361,7.1,5016,4703,313,6.2,4964,4619,345,7,5020,4693,327,6.5,5024,4672,352,7,4896,4551,345,7,4998,4463,535,10.7,4253,3764,489,11.5,4173,3700,473,11.3,4135,3687,448,10.8,4078,3634,444,10.9,4016,3672,344,8.6,3984,3693,291,7.3,3987,3745,242,6.1,4013,3812,201,5,3960,3769,191,4.8,3994,3792,202,5.1,3890,3407,483,12.4,48964,76.3
WI,Grant,6,5,0,27467,26566,901,3.3,28236,26956,1280,4.5,28084,26735,1349,4.8,28718,27251,1467,5.1,27421,26177,1244,4.5,26959,25782,1177,4.4,27238,26040,1198,4.4,28220,26887,1333,4.7,28179,26806,1373,4.9,28835,26572,2263,7.8,27797,25721,2076,7.5,27864,26019,1845,6.6,27669,26042,1627,5.9,27643,26026,1617,5.8,27708,26394,1314,4.7,28094,26891,1203,4.3,28126,27054,1072,3.8,28104,27224,880,3.1,28130,27339,791,2.8,27658,26782,876,3.2,27311,25875,1436,5.3,56418,87.9
WI,Green,2,2,1,20055,19428,627,3.1,20125,19293,832,4.1,20068,19069,999,5,20003,18929,1074,5.4,19618,18742,876,4.5,20064,19175,889,4.4,20322,19445,877,4.3,20353,19413,940,4.6,20403,19436,967,4.7,20417,18521,1896,9.3,21288,19617,1671,7.8,21076,19667,1409,6.7,20806,19530,1276,6.1,20856,19672,1184,5.7,20815,19890,925,4.4,21042,20259,783,3.7,21153,20466,687,3.2,21061,20485,576,2.7,20978,20437,541,2.6,20979,20389,590,2.8,20555,19570,985,4.8,64319,100.2
WI,GreenLake,6,6,0,10737,10317,420,3.9,10960,10383,577,5.3,10875,10178,697,6.4,10871,10120,751,6.9,10623,10008,615,5.8,10309,9707,602,5.8,10467,9898,569,5.4,10496,9935,561,5.3,10424,9837,587,5.6,10287,9254,1033,10,10311,9368,943,9.1,10357,9531,826,8,10300,9539,761,7.4,10202,9398,804,7.9,10031,9396,635,6.3,9966,9439,527,5.3,9733,9270,463,4.8,9679,9318,361,3.7,9669,9346,323,3.3,9417,9058,359,3.8,9253,8616,637,6.9,59458,92.6
WI,Iowa,2,2,1,13649,13267,382,2.8,13958,13468,490,3.5,14010,13435,575,4.1,14076,13467,609,4.3,14146,13584,562,4,14301,13702,599,4.2,14392,13779,613,4.3,14048,13423,625,4.4,14100,13435,665,4.7,14064,12928,1136,8.1,13779,12665,1114,8.1,13721,12738,983,7.2,13534,12646,888,6.6,13541,12670,871,6.4,13537,12854,683,5,13659,13093,566,4.1,13661,13195,466,3.4,13758,13355,403,2.9,13738,13378,360,2.6,13620,13236,384,2.8,13502,12678,824,6.1,67390,105
WI,Iron,9,12,0,3269,3047,222,6.8,3277,3023,254,7.8,3351,3048,303,9,3360,3044,316,9.4,3305,3009,296,9,3197,2931,266,8.3,3191,2934,257,8.1,3063,2821,242,7.9,3032,2789,243,8,3006,2626,380,12.6,2882,2560,322,11.2,2746,2459,287,10.5,2778,2492,286,10.3,2726,2436,290,10.6,2675,2425,250,9.3,2612,2388,224,8.6,2629,2438,191,7.3,2599,2439,160,6.2,2564,2415,149,5.8,2529,2380,149,5.9,2547,2261,286,11.2,48813,76.1
WI,Jackson,6,6,0,9810,9365,445,4.5,9810,9248,562,5.7,9863,9268,595,6,10140,9547,593,5.8,9899,9354,545,5.5,9844,9281,563,5.7,10006,9464,542,5.4,9861,9314,547,5.5,9815,9250,565,5.8,10022,9090,932,9.3,10128,9259,869,8.6,10200,9405,795,7.8,10302,9562,740,7.2,10145,9434,711,7,10192,9604,588,5.8,10321,9840,481,4.7,10298,9859,439,4.3,10391,10045,346,3.3,10526,10197,329,3.1,10205,9817,388,3.8,9877,8959,918,9.3,57247,89.2
WI,Jefferson,4,3,0,43287,42041,1246,2.9,43157,41449,1708,4,42501,40470,2031,4.8,43211,41004,2207,5.1,43319,41170,2149,5,42702,40769,1933,4.5,42931,41008,1923,4.5,42241,40221,2020,4.8,42508,40414,2094,4.9,42865,38756,4109,9.6,46492,42510,3982,8.6,46326,42905,3421,7.4,46162,43132,3030,6.6,45899,43042,2857,6.2,45761,43512,2249,4.9,45541,43657,1884,4.1,45585,43852,1733,3.8,45472,44028,1444,3.2,45876,44556,1320,2.9,45660,44264,1396,3.1,45213,42762,2451,5.4,71098,110.8
WI,Juneau,7,9,0,12815,12185,630,4.9,13145,12308,837,6.4,13023,12075,948,7.3,13117,12156,961,7.3,13149,12318,831,6.3,13351,12541,810,6.1,13506,12740,766,5.7,13295,12506,789,5.9,13394,12587,807,6,13616,12194,1422,10.4,13697,12359,1338,9.8,13671,12446,1225,9,13564,12444,1120,8.3,13474,12387,1087,8.1,13366,12515,851,6.4,13475,12799,676,5,13498,12916,582,4.3,13546,13097,449,3.3,13453,13041,412,3.1,13399,12965,434,3.2,13280,12327,953,7.2,55787,86.9
